,Name,Price of pods,Color_and_Type,Rating,Rated_By
0,"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",₹999,"Red, True Wireless",3.9,(937)
1,"HOPPUP Xo6 Gaming Earbuds with 35MS Low Latency, RGB LE...",₹999,"Cobalt Blue, True Wireless",3.9,(937)
2,Apple AirPods(2nd gen) with Charging Case Bluetooth Hea...,"₹10,990","White, True Wireless",4.5,"(1,41,540)"
3,Apple AirPods Pro (2nd generation) with MagSafe Case (U...,"₹22,500","White, True Wireless",4.6,"(8,657)"
4,OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"₹1,799","Midnight, True Wireless",4.3,"(3,26,142)"
5,"realme Buds T110 with AI ENC for calls, upto 38 hours o...","₹1,499","Jazz Blue, True Wireless",4.2,"(2,57,655)"
6,boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,"₹1,999","Charcoal Black, True Wireless",4.1,"(99,829)"
7,"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,499","White Opal, True Wireless",4.1,"(65,273)"
8,"boAt Airdopes 71 w/ 40 HRS Playback, ENx Technology & B...","₹1,199","Active Black, True Wireless",3.8,"(34,292)"
9,"CMF by Nothing Buds 42 dB Active Noise Cancellation, Ul...","₹2,499","Dark Grey, True Wireless",4.2,"(13,090)"
10,"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,499","Black Gloss, True Wireless",4.1,"(65,273)"
11,"TRIGGR Kraken X1 with Battery Display, 40ms Latency, Qu...",₹899,"Black, True Wireless",4.1,"(30,816)"
12,"CMF by Nothing Buds 42 dB Active Noise Cancellation, Ul...","₹2,499","Light Grey, True Wireless",4.2,"(13,090)"
13,OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ...,"₹1,998","Misty Grey, True Wireless",4.3,"(90,235)"
14,OnePlus Nord Buds 2r in Ear Earbuds with Dual Mic & AI ...,"₹1,998","Deep Grey, True Wireless",4.3,"(90,235)"
15,"OnePlus Buds 3 TWS, in Ear Earbuds with Sliding Volume ...","₹5,499","Metallic Gray IN, True Wireless",4.5,"(11,347)"
16,HOPPUP Predator Xo3 Gaming Earbuds with 35MS Low Latenc...,₹898,"White, True Wireless",3.9,"(1,671)"
17,"HOPPUP AirDoze S40 Earbuds with 13MM Drivers, 40H Playt...",₹699,"Blue, True Wireless",4,"(34,816)"
18,OPPO Enco Buds 2 with 28 hours Battery life & Deep Nois...,"₹1,799","Lilac blue, True Wireless",4.3,"(3,26,142)"
19,"boAt Nirvana Ion 32dB Active Noise Cancellation, 120HRS...","₹2,499","Quartz white, True Wireless",4.1,"(99,829)"
20,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","₹1,099","Pine Green, True Wireless",4.1,"(71,898)"
21,"Mivi DuoPods i2 TWS,13mm Bass,45H Playtime,Dual Mic AI ...",₹798,"Blue, True Wireless",4,"(6,586)"
22,OnePlus Nord Buds 2 Earbuds with 25dB Active Noise Canc...,"₹2,999","Thunder Gray, True Wireless",4.3,"(74,372)"
23,"boAt Airdopes 71 w/ 40 HRS Playback, ENx Technology & B...","₹1,199","Starry Blue, True Wireless",3.8,"(34,292)"
24,"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,499","Sporty Blue, True Wireless",4.1,"(27,513)"
25,"Boult Y1 Pro with Zen Quad Mic ENC, 60Hrs Battery, Fast...","₹1,199","Powder Blue, True Wireless",4,"(15,777)"
26,"truke BTG1 Earbuds with Game Mode, 48H Playtime, Quad M...",₹899,"Black, True Wireless",4,"(69,672)"
27,"Boult Airbass Z35 with ZEN ENC Mic, 32H Playtime, 45ms ...",₹899,"Graphite Black, True Wireless",3.9,"(1,09,824)"
28,"realme Buds T300 with 12.4mm Driver, 30dB ANC, 360 Spat...","₹2,299","Stylish Black, True Wireless",4.3,"(53,443)"
29,"CMF by Nothing Buds Pro with 45 dB ANC, Ultra Bass Tech...","₹2,999","Dark Grey, True Wireless",4.1,"(12,119)"
30,"Boult Astra with Quad Mic ENC, 48Hrs Battery, Low Laten...","₹1,499","Smoky Metal, True Wireless",4.1,"(65,273)"
31,"Mivi SuperPods Halo [Flagship Launch], ANC with 3D Soun...","₹1,999","Rose Black, True Wireless",4.6,(61)
32,"Mivi DuoPods D3 TWS,13mm Driver,Rich Bass,50H Playtime,...",₹799,"Cobalt Black, True Wireless",3.9,"(56,063)"
33,"boAt Airdopes Supreme w/ 4 Mics AI ENx Tech, 50 HRS Pla...","₹1,499","Classic Black, True Wireless",4.1,"(27,513)"
34,boAt Nirvana Ion with 120 Hours Playback & Crystal Bion...,"₹1,999","Ivory White, True Wireless",4.1,"(99,829)"
35,"boAt Airdopes 161 ANC Elite w/ ANC, 50 HRS Playback, AS...","₹1,599","Black, True Wireless",4,"(9,74,442)"
36,"Boult W20 with Zen ENC Mic, 35H Battery Life, Low Laten...","₹1,099","Glacier Blue, True Wireless",4.1,"(71,898)"
37,boAt Airdopes 131 Elite ANC w/ Active Noise Cancellatio...,"₹1,499","Black, True Wireless",4,"(19,14,777)"
38,OnePlus Nord Buds 3 Pro Truly Wireless Earbuds with 49d...,"₹3,299","Soft Jade, True Wireless",4.4,(380)
39,OnePlus Nord Buds 2r True Wireless in Ear Earbuds with ...,"₹1,999","Triple Blue, True Wireless",4.3,"(90,235)"
